algoritmo,k,time,eigendrop
netshield,3,0.0024919399875216186,0.16287425
walk4,3,0.001677253982052207,0.21911211
walk4-aprimorado,3,0.0016985069960355759,0.21911211
xnb,3,0.0073115049744956195,0.27019259
netshield,4,0.0022313870140351355,0.16287425
walk4,4,0.0015073499525897205,0.34309895
walk4-aprimorado,4,0.0013440060429275036,0.34309895
xnb,4,0.009894556016661227,0.27019259
netshield,5,0.0022157669882290065,0.16287425
walk4,5,0.0013588379952125251,0.52979816
walk4-aprimorado,5,0.0012997600133530796,0.52979816
xnb,5,0.010463971993885934,0.34309895
netshield,8,0.002169331011828035,0.16287425
walk4,8,0.0013369630323722959,0.6820391
walk4-aprimorado,8,0.0013995670014992356,0.6820391
xnb,8,0.018167828035075217,0.22611718
netshield,17,0.002471146988682449,0.6820391
walk4,17,0.0013514099991880357,1.52979816
walk4-aprimorado,17,0.0014199609868228436,1.52979816
xnb,17,0.0351528319879435,1.1155846
