algoritmo,k,time,eigendrop
netshield,1,0.002141608973033726,0.30277564
walk4,1,0.0007482090150006115,0.12744789
walk4-aprimorado,1,0.0006803270080126822,0.12744789
xnb,1,0.0030204919748939574,0.30277564
netshield,2,0.0010815099813044071,0.30277564
walk4,2,0.0006405499880202115,0.22846234
walk4-aprimorado,2,0.0006861569709144533,0.22846234
xnb,2,0.0038881379878148437,0.30277564
netshield,3,0.0010209690080955625,0.30277564
walk4,3,0.0006944600027054548,0.57072483
walk4-aprimorado,3,0.0006824060110375285,0.57072483
xnb,3,0.005132218007929623,0.30277564
netshield,6,0.0009099899907596409,2.30277564
walk4,6,0.0006292609614320099,2.30277564
walk4-aprimorado,6,0.0006262570386752486,2.30277564
xnb,6,0.009199758002068847,2.30277564
