algoritmo,k,time,eigendrop
netshield,126,10.045442683971487,15.08150925
walk4,126,5.997410734998994,5.23993831
walk4-aprimorado,126,5.10679282201454,9.16114463
xnb,126,2.1614989539957605,15.85902708
netshield,158,10.152186845021788,15.51806802
walk4,158,6.049113410990685,6.05252656
walk4-aprimorado,158,4.908241958997678,9.38439284
xnb,158,271.4048093369929,15.86099292
netshield,211,16.909125931968447,3.44052722
walk4,211,5.759065164020285,7.22265456
walk4-aprimorado,211,4.189994340995327,14.27280514
