algoritmo,k,time,eigendrop
netshield,238,123.50798817601753,34.8194555
walk4,238,46.36662859102944,59.38837324
walk4-aprimorado,238,54.90964647103101,59.38837324
xnb,238,37.11169488396263,63.59382707
netshield,298,159.5123325609602,39.11817428
walk4,298,44.70567529799882,63.1263673
walk4-aprimorado,298,52.689348628977314,63.1263673
xnb,298,42.17461295699468,66.27792147
netshield,397,222.60771415900672,42.69996635
walk4,397,52.592836200026795,66.83156837
walk4-aprimorado,397,50.70974333398044,66.83156837
xnb,397,57.50646894401871,69.22815488
netshield,596,332.3281032469822,48.230403
walk4,596,50.87184964097105,70.66230525
walk4-aprimorado,596,66.2893201339757,70.66230525
xnb,596,83.61690477700904,72.82893644
netshield,1192,510.8432947099791,63.57250824
walk4,1192,41.120695622987114,76.07923449
walk4-aprimorado,1192,38.732328271027654,76.23805261
xnb,1192,143.4924871699768,76.80087597
