algoritmo,k,time,eigendrop
netshield,2,0.0014250969979912043,0.46476002
walk4,2,0.0010261560091748834,0.5561268
walk4-aprimorado,2,0.0007618060044478625,0.5561268
xnb,2,0.020121149020269513,0.5561268
netshield,3,0.0013870940019842237,0.66475141
walk4,3,0.0004131169989705086,0.73555759
walk4-aprimorado,3,0.00041889201384037733,0.73555759
xnb,3,0.0295559799997136,0.75973009
netshield,4,0.001428671006578952,0.82541046
walk4,4,0.00043225998524576426,0.92703408
walk4-aprimorado,4,0.000482497998746112,0.92703408
xnb,4,0.038259513006778434,0.97108925
netshield,6,0.0014432769967243075,1.20218106
walk4,6,0.0005598429997917265,1.29729191
walk4-aprimorado,6,0.000521805981406942,1.29729191
xnb,6,0.055369821988279,1.28369422
netshield,13,0.001810879010008648,1.98732913
walk4,13,0.0005448340089060366,2.37202256
walk4-aprimorado,13,0.0005640939925797284,2.37202256
xnb,13,0.09622829500585794,2.32884161
