algoritmo,k,time,eigendrop
netshield,2,0.0028824609998991946,0.1619918
walk4,2,0.0017826130006142193,0.15695233
walk4-aprimorado,2,0.0015715270001237513,0.15695233
xnb,2,0.009631824000280176,0.02341306
netshield,3,0.002567196000200056,0.16287425
walk4,3,0.0017456219993619015,0.21911211
walk4-aprimorado,3,0.0014962029999878723,0.21911211
xnb,3,0.012119206000534177,0.27019259
netshield,4,0.002473522999935085,0.16287425
walk4,4,0.0017002179993141908,0.34309895
walk4-aprimorado,4,0.001463673999751336,0.34309895
xnb,4,0.014270140999542491,0.22611718
netshield,6,0.0025678720003270428,0.16287425
walk4,6,0.002014968999901612,0.52979816
walk4-aprimorado,6,0.0014843059998383978,0.52979816
xnb,6,0.02017606200024602,0.56018266
netshield,13,0.002749082000264025,0.16745833
walk4,13,0.0017248530002689222,1.1155846
walk4-aprimorado,13,0.0014427039996007807,1.1155846
xnb,13,0.03786273000059737,0.6820391
