algoritmo,k,time,eigendrop
netshield,1,0.0030534369998349575,0.30277564
walk4,1,0.0009260279994123266,0.12744789
walk4-aprimorado,1,0.0008058080002228962,0.12744789
xnb,1,0.0026237239999318263,0.06670766
netshield,2,0.00117463799961115,0.30277564
walk4,2,0.0009713070003272151,0.22846234
walk4-aprimorado,2,0.0006388629999491968,0.22846234
xnb,2,0.0034882159998232964,0.1538145
netshield,4,0.0010772910000014235,2.30277564
walk4,4,0.0008614270000180113,0.57072483
walk4-aprimorado,4,0.0007042810002531041,0.57072483
xnb,4,0.006369776000610727,0.30277564
