algoritmo,k,time,eigendrop
netshield,126,10.961221159999695,15.08150925
walk4,126,6.548023290000856,5.23993831
walk4-aprimorado,126,5.586056217000078,9.16114463
xnb,126,38.30404103500041,15.7708459
netshield,158,10.677440354998907,15.51806802
walk4,158,6.465931840000849,6.05252656
walk4-aprimorado,158,5.28046008399906,9.38439284
xnb,158,45.1317268699986,17.15507636
netshield,211,18.029233829000077,3.44052722
walk4,211,6.229271885000344,7.22265456
walk4-aprimorado,211,4.550229091999427,14.27280514
xnb,211,55.722652466998625,17.4899656
netshield,317,20.461609746998874,3.38973811
walk4,317,5.74354190700069,9.49604224
walk4-aprimorado,317,4.350790780999887,19.13347302
xnb,317,63.573870192998584,19.55850561
netshield,634,18.84182084799977,13.56541867
walk4,634,5.052493057999527,13.38829742
walk4-aprimorado,634,4.1023406900003465,21.8751304
xnb,634,77.55628426200019,20.63906243
