algoritmo,k,time,eigendrop
netshield,373,266.561666071997,87.47668797
walk4,373,1.794663248991128,129.99564043
walk4-aprimorado,373,1.7502184780023526,129.99564043
xnb,373,444.50860189500963,133.14462317
netshield,467,391.8772342049924,92.77838807
walk4,467,1.9752048980153631,135.2502168
walk4-aprimorado,467,2.059546375006903,135.2502168
xnb,467,538.04014916101,136.76193525
netshield,623,682.0319441900065,100.65037309
walk4,623,2.3313411300187,139.48412295
walk4-aprimorado,623,2.152587053977186,139.48412295
xnb,623,663.4625614929828,141.34844704
netshield,934,879.9608492390253,106.52956196
walk4,934,2.4980525379942264,142.49133825
walk4-aprimorado,934,2.515420751995407,142.55218053
xnb,934,960.2798618040106,145.4240667
netshield,1869,1002.0688640169974,120.45421838
walk4,1869,3.2811419579957146,146.75837241
walk4-aprimorado,1869,3.285721405001823,147.69652674
xnb,1869,5772.376985169991,148.8588044
