algoritmo,k,time,eigendrop
netshield,238,121.93237694100026,34.8194555
walk4,238,43.88831385599951,59.38837324
walk4-aprimorado,238,46.89139110300039,59.38837324
xnb,238,161.72902943099962,63.59382707
netshield,298,126.7280580480001,39.11817428
walk4,298,43.60136006499852,63.1263673
walk4-aprimorado,298,43.63216212599946,63.1263673
xnb,298,199.38890385999912,66.27792147
netshield,397,198.45904996299942,42.69996635
walk4,397,42.31409199399968,66.83156837
walk4-aprimorado,397,42.53983796600005,66.83156837
xnb,397,255.92134376799913,69.22815488
netshield,596,312.6808670549999,48.230403
walk4,596,39.442518605999794,70.66230525
walk4-aprimorado,596,38.91803978900134,70.66230525
xnb,596,364.3806815909993,72.82893644
netshield,1192,374.6571017509996,63.57250824
walk4,1192,32.64614657400125,76.07923449
walk4-aprimorado,1192,32.37516140000116,76.23805261
xnb,1192,677.2135267569993,76.80087598
